"id","name","schoolType","country","region","websiteUrl","logo","createdAt"
"OyJZzlmx9K","Abubakar Tafawa Balewa University","PUBLIC_UNIVERSITY","Nigeria","Bauchi","https://www.atbu.edu.ng",,"2025-09-07T19:56:32.795Z"
"9PMFBEZHy_","Bayero University","PUBLIC_UNIVERSITY","Nigeria","Kano","https://www.buk.edu.ng",,"2025-09-07T19:56:32.797Z"
"tCQQqMB5VQ","Ahmadu Bello University","PUBLIC_UNIVERSITY","Nigeria","Zaria","https://www.abu.edu.ng",,"2025-09-07T19:56:32.797Z"
"w9Qke78CpA","Federal University Gashua","PUBLIC_UNIVERSITY","Nigeria","Yobe","https://www.fugashua.edu.ng",,"2025-09-07T19:56:32.797Z"
"wkCAX_h-q3","Federal University, Dutsin-Ma","PUBLIC_UNIVERSITY","Nigeria","Katsina","https://www.fudutsinma.edu.ng",,"2025-09-07T19:56:32.853Z"
"JX-t8uvEMe","Federal University of Technology, Akure","PUBLIC_UNIVERSITY","Nigeria","Ondo","https://www.futa.edu.ng",,"2025-09-07T19:56:32.853Z"
"0sItx0IeDE","Federal University, Kashere","PUBLIC_UNIVERSITY","Nigeria","Gombe","https://www.fukashere.edu.ng",,"2025-09-07T19:56:32.853Z"
"WQhgq1Hjzr","Federal University of Technology, Minna","PUBLIC_UNIVERSITY","Nigeria","Niger","https://www.futminna.edu.ng",,"2025-09-07T19:56:32.853Z"
"ue3U5Ru2wq","Federal University of Petroleum Resources","PUBLIC_UNIVERSITY","Nigeria","Delta","https://www.fupre.edu.ng",,"2025-09-07T19:56:32.798Z"
"YmtpcysFeb","Federal University, Lafia","PUBLIC_UNIVERSITY","Nigeria","Nasarawa","https://www.fulafia.edu.ng",,"2025-09-07T19:56:32.853Z"
"bQWdjO_qNz","Federal University of Technology, Owerri","PUBLIC_UNIVERSITY","Nigeria","Imo","https://www.futo.edu.ng",,"2025-09-07T19:56:32.854Z"
"aVyh1vgrQV","Federal University, Lokoja","PUBLIC_UNIVERSITY","Nigeria","Kogi","https://www.fulokoja.edu.ng",,"2025-09-07T19:56:32.854Z"
"GuMFC58_wm","Federal University, Dutse","PUBLIC_UNIVERSITY","Nigeria","Jigawa","https://www.fud.edu.ng/",,"2025-09-07T19:56:32.854Z"
